Open,High,Low,Close,Volume,EMA_7,EMA_14,SMA_50,SMA_200,RSI,MACD,MACD_Signal,BB_Upper,BB_Lower,OBV,Target
254.2910003662109,255.25799560546875,251.1000061035156,253.69700622558597,12493500,251.4009676178202,253.52209974716453,259.5743615722657,310.84317024230955,45.44303171552616,-4.193132999897642,-3.9065378647932967,282.68123625314917,230.5896652361086,-27888036.0,1
253.7610015869141,260.67498779296875,251.94200134277344,260.5979919433594,19649200,253.700223699205,254.4655520399905,259.63990112304685,309.8594901275635,44.618262454462105,-3.252121937555785,-3.7756546793457946,275.85904887716276,234.4123531003763,-8238836.0,0
260.72100830078125,261.7980041503906,254.5749969482422,255.49200439453125,20034200,254.14816887303655,254.6024123539293,260.05324127197264,309.0147501373291,42.21958447201535,-2.885116585626889,-3.5975470606020137,268.66284818910407,238.60725373960682,-28273036.0,0
255.2740020751953,255.80499267578125,252.2050018310547,253.17999267578125,18467400,253.90612482372273,254.4127563968429,260.4399810791016,308.3066701507568,57.09527702825377,-2.7491319417580655,-3.427864036833224,268.4551423406909,238.5030577325513,-46740436.0,0
253.06399536132807,253.8470001220703,244.21499633789065,245.02200317382807,30086400,251.68509441124905,253.16065596710757,260.4682211303711,307.4872602081299,49.03699283143985,-3.262041916754441,-3.3946996128174676,267.683623922836,237.6839755644687,-76826836.0,0
244.75100708007807,246.1179962158203,239.3999938964844,243.67599487304688,21643500,249.6828195266985,251.8960344878995,260.61522094726564,306.7115351104736,45.95454396379258,-3.7340940759534647,-3.462578505444667,266.65758668919983,236.90271299341737,-98470336.0,0
243.69400024414065,243.69400024414065,232.77099609375,236.07200622558597,28882000,246.28011620142036,249.7861640529244,260.5310009765625,305.88113510131836,41.71417995215519,-4.667967721551236,-3.703656348665981,266.48640362293605,234.6785972925913,-127352336.0,1
236.01600646972656,239.53700256347656,234.1750030517578,236.552001953125,16365200,243.84808763934652,248.02160910628447,260.38646087646487,304.8849401855469,36.64638682932675,-5.308148636884852,-4.024554806309755,263.85862636148283,234.16557560384922,-110987136.0,0
236.53500366210935,237.72799682617188,233.4949951171875,236.1529998779297,12387900,241.9243156989923,246.4391278758372,260.2188409423828,303.9496802520752,43.58673561328157,-5.781052384106147,-4.375854321869033,260.8700351019848,234.0954678277027,-123375036.0,0
235.9499969482422,236.93499755859372,221.9960021972656,224.5870056152344,31181800,237.5899881780528,243.5255115744235,259.99104095458983,303.0147452545166,30.189814502458404,-7.0083234960859215,-4.902348156712411,263.2901267651405,229.57457660400013,-154556836.0,0
224.75900268554688,224.9759979248047,216.322998046875,219.15899658203125,31719000,232.9822402790474,240.2766429087712,259.5963809204102,302.08841529846194,29.120494724259743,-8.322997327253375,-5.586477990820605,265.8908968131332,224.27000559165188,-186275836.0,1
219.072998046875,223.8329925537109,218.6490020751953,223.8329925537109,22562000,230.6949283477133,238.08415619476318,259.2983407592773,301.2099803161621,30.98994190177929,-8.885309085244842,-6.246244209705453,266.6312021603512,221.05979973173862,-163713836.0,1
223.91700744628903,229.6719970703125,223.91700744628903,228.572998046875,24805400,230.1644457725037,236.81600177504478,259.12040069580075,300.46694030761716,29.860181376803368,-8.846489550481522,-6.766293277860667,266.6413463978091,219.20405460316744,-138908436.0,0
228.5749969482422,228.906005859375,221.94200134277344,222.8820037841797,20429800,228.3438352754227,234.95813537626276,258.8495208740234,299.70401527404783,25.826527921039954,-9.169243137642923,-7.2468832498171185,266.269931164374,216.58386979998147,-159338236.0,1
222.85299682617188,224.3159942626953,220.87600708007807,223.3560028076172,12939000,227.09687715847133,233.41118436711002,258.24008087158205,298.8860752868652,26.617226901428666,-9.279808070014838,-7.653468213856662,266.5671477377588,214.35095376370606,-146399236.0,0
223.45599365234372,226.35299682617188,222.3730010986328,222.6000061035156,15021500,225.9726593947324,231.96969393196412,257.60682098388673,298.08100036621096,17.652467142437715,-9.320987647898193,-7.9869721006649685,266.2631674395016,212.16233457465856,-161420736.0,1
222.61199951171875,226.3509979248047,221.9770050048828,224.62600708007807,18364700,225.63599631606883,230.99053568504598,256.8953012084961,297.32877044677736,22.26973630097544,-9.085410456965406,-8.206659771925056,265.93103799636435,210.53466482345988,-143056036.0,1
224.6199951171875,235.2689971923828,224.30099487304688,235.2689971923828,24978000,228.04424653514732,231.56099721935757,256.08728088378905,296.70755546569825,36.00374786654676,-7.948290535373047,-8.154985924614653,265.0246894725076,210.2407127491721,-118078036.0,0
235.6020050048828,237.90899658203125,233.4759979248047,234.17599487304688,23847900,229.57718361962222,231.90966357318283,255.1367608642578,296.2341054534912,40.47258296097806,-7.053996872586765,-7.934788114209076,263.1365840531807,210.24591716752246,-141925936.0,1
234.0529937744141,236.4750061035156,233.19900512695312,236.4620056152344,17036000,231.29838911852525,232.51664251212304,254.40416076660156,295.81386543273925,43.765994569494254,-6.090592184444802,-7.565948928256222,260.90936960120126,210.6871315584667,-124889936.0,0
235.97000122070312,236.30499267578125,229.93299865722656,231.26800537109372,21448700,231.29079318166737,232.3501575599858,253.50596069335938,295.3198104095459,45.66816851317742,-5.680715685467931,-7.1889022796985635,258.3864658188529,210.96713525536586,-146338636.0,0
231.2350006103516,232.56100463867188,226.3370056152344,226.38999938964844,13957200,230.06559473366264,231.55546980394084,252.57930084228516,294.77082534790037,41.510157949660396,-5.683978555895152,-6.887917534937881,253.52930902614227,212.4034927927054,-160295836.0,0
